loyalty_number,total_flights,distance,points_accumulated,points_redeemed,months_recorded,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,salary_missing_flag,cancelled_flag,salary_band,clv_band,enrollment_date,cancellation_date,points_balance,redemption_rate,activity_segment,clv_segment,customer_segment
768012,51,77165,77165,1246,24,Canada,British Columbia,Victoria,V10 6T5,Male,Doctor,259461,Married,Aurora,5108.04,0,0,High,Medium CLV,2013-07-01,,75919,1.61472170025271e-02,High Activity,High CLV,High Value Frequent Flyer
471018,0,0,0,0,24,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,50047,Married,Star,4505.84,0,1,Medium,Medium CLV,2015-08-01,2017-04-01,0,0,No Activity,Medium CLV,Medium Value Inactive
103862,37,69191,69191,2686,24,Canada,Ontario,Kingston,M9K 2P4,Female,Doctor,299560,Married,Star,4878.83,0,0,High,Medium CLV,2013-07-01,,66505,3.88200777557775e-02,Medium Activity,Medium CLV,Medium Value Regular
823048,18,17990,17990,0,24,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697,Married,Star,3919.37,0,0,Medium,Medium CLV,2018-05-01,,17990,0,Low Activity,Low CLV,Low Value Low Activity
675879,81,114998,172497,541,11,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,78617,Married,Aurora,8000.55,0,0,Medium,High CLV,2018-02-01,,171956,3.13628642816977e-03,High Activity,High CLV,High Value Frequent Flyer
827194,44,68440,102660,1158,11,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,71450,Married,Aurora,8255.76,0,0,Medium,High CLV,2018-03-01,,101502,1.12799532437171e-02,High Activity,High CLV,High Value Frequent Flyer
264064,15,18095,18095,0,24,Canada,Saskatchewan,Regina,S6J 3G0,Male,College,,Married,Star,4715.47,1,1,Unknown,Medium CLV,2017-07-01,2018-03-01,18095,0,Low Activity,Medium CLV,Medium Value Casual
787472,36,55887,55887,2006,24,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Single,Star,4506.66,1,0,Unknown,Medium CLV,2017-09-01,,53881,3.58938572476605e-02,Medium Activity,Medium CLV,Medium Value Regular
559304,26,36230,36230,537,24,Canada,Saskatchewan,Regina,S1J 3C5,Female,College,,Single,Star,4815.02,1,0,Unknown,Medium CLV,2017-05-01,,35693,1.48219707424786e-02,Medium Activity,Medium CLV,Medium Value Regular
119488,33,38383,38383,0,24,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,,Single,Star,4108.26,1,0,Unknown,Medium CLV,2017-06-01,,38383,0,Medium Activity,Low CLV,Low Value Regular
