loyalty_number,salary,clv,redemption_rate,points_balance,active_month_count,inactive_month_count,consecutive_inactive_months,months_since_last_flight,flights_last_3_months,flights_last_6_months,flights_last_12_months,tenure_months,months_since_last_activity,flight_activity_trend,distance_last_3_months,distance_last_6_months,distance_last_12_months,distance_trend,points_last_3_months,points_last_6_months,points_last_12_months,recent_redemption_rate,months_since_last_redemption,cancelled_flag,behavioral_churn,final_churn,salary_missing_flag,gender_Male,education_College,education_Doctor,education_High School or Below,education_Master,marital_status_Married,marital_status_Single,salary_band_Low,salary_band_Medium,salary_band_Unknown,province_British Columbia,province_Manitoba,province_New Brunswick,province_Newfoundland,province_Nova Scotia,province_Ontario,province_Prince Edward Island,province_Quebec,province_Saskatchewan,province_Yukon,loyalty_card_Nova,loyalty_card_Star,clv_band_Low CLV,clv_band_Medium CLV
768012,259461.0,5108.04,0.0161472170025271,75919,17,7,1,1,4,18,29,65.0,1.0,-0.7142857142857143,5599.0,17447.0,39062.0,-0.5274307900067522,5599.0,17447.0,39062.0,0.043445864618559,6.0,0,0,0,0,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
471018,50047.0,4505.84,0.0,0,0,24,24,999,0,0,0,40.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1,1,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
103862,299560.0,4878.83,0.0388200777557775,66505,14,10,0,0,6,15,22,65.0,0.0,-0.3333333333333333,10478.0,25669.0,37552.0,-0.3102494898295043,10478.0,25669.0,37552.0,0.0833300868752191,1.0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
823048,80697.0,3919.37,0.0,17990,5,19,1,1,6,18,18,7.0,1.0,-0.5,5622.0,17990.0,17990.0,-0.5454398447606728,5622.0,17990.0,17990.0,0.0,999.0,0,0,0,0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
675879,78617.0,8000.55,0.0031362864281697,171956,7,4,0,0,26,66,81,10.0,0.0,-0.35,34350.0,95174.0,114998.0,-0.4352558200710246,51525.0,142761.0,172497.0,0.0,9.0,0,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
827194,71450.0,8255.76,0.0112799532437171,101502,5,6,1,1,12,32,44,9.0,1.0,-0.4,23636.0,54496.0,68440.0,-0.2340894361633182,35454.0,81744.0,102660.0,0.0051624584067332,2.0,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
264064,74668.5,4715.47,0.0,18095,5,19,10,10,0,0,7,17.0,10.0,0.0,0.0,0.0,10403.0,0.0,0.0,0.0,10403.0,0.0,999.0,1,1,1,1,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
787472,74668.5,4506.66,0.0358938572476605,53881,10,14,0,0,8,24,36,15.0,0.0,-0.5,8933.0,35099.0,55887.0,-0.6586027669494764,8933.0,35099.0,55887.0,0.0571526254309239,1.0,0,0,0,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
559304,74668.5,4815.02,0.0148219707424786,35693,9,15,6,6,0,4,13,19.0,6.0,-1.0,0.0,6808.0,21040.0,-1.0,0.0,6808.0,21040.0,0.0,16.0,0,1,1,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
119488,74668.5,4108.26,0.0,38383,11,13,0,0,10,10,22,18.0,0.0,0.0,7139.0,7139.0,26765.0,0.0,7139.0,7139.0,26765.0,0.0,999.0,0,0,0,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
138746,57020.0,4479.49,0.0250383753994816,38744,10,14,0,0,3,11,14,72.0,0.0,-0.625,2124.0,20256.0,25056.0,-0.8828590337524818,2124.0,20256.0,25056.0,0.0,8.0,0,0,0,0,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
974114,92853.0,5079.84,0.0400719332982144,52845,18,6,0,0,12,21,27,63.0,0.0,0.3333333333333333,16300.0,28721.0,35860.0,0.3122936961597295,16300.0,28721.0,35860.0,0.0233278785557605,5.0,0,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
